#,ごい,Vocabulary,Type,Meaning
410,西洋,seiyou,Noun,the west; Western countries
,,せいよう,,
411,世界,sekai,Noun,the world
,,せかい,,
412,席,seki,Noun,seat
,,せき,,
413,線,sen,Noun,line
,,せん,,
414,背中,senaka,Noun,back (of body)
,,せなか,,
415,先輩,senpai,Noun,senior
,,せんぱい,,
416,戦争,sensou,"Noun, Suru verb",war
,,せんそう,,
417,説明,setsumei,"Noun, Verb, Suru verb",explanation
,,せつめい,,
418,社長,shachou,Noun,company president; manager; director
,,しゃちょう,,
,,,,
419,社会,shakai,Noun,society; public; community; the world
,,しゃかい,,
420,市,shi,Noun,city
,,し,,
421,試合,shiai,"Noun, Suru verb","match,game"
,,しあい,,
422,叱る,shikaru,"Verb, Godan verb, Transitive verb",to scold
,,しかる,,
423,仕方,shikata,Noun,way; method
,,しかた,,
424,試験,shiken,"Noun, Suru verb",examination
,,しけん,,
425,しっかり,shikkari,"Adverb, Suru verb",firmly; steadily
426,島,shima,Noun,island
,,しま,,
427,市民,shimin,Noun,citizen
,,市民,,
428,品物,shinamono,Noun,goods; article; thing
,,しなもの,,
429,新聞社,shinbunsha,Noun,newspaper company
,,しんぶんしゃ,,
430,親切,shinsetsu,"Noun, Adjective, な-adjective",kindness
,,しんせつ,,
431,失敗,shippai,"Noun, Suru verb",failure
,,しっぱい,,
432,調べる,shiraberu,"Verb, Ichidan verb, Transitive verb",to investigate
,,しらべる,,
433,知らせる,shiraseru,"Verb, Ichidan verb, Transitive verb",to notify
,,しらせる,,
434,下着,shitagi,Noun,underwear
,,したぎ,,
435,食料品,shokuryouhin,Noun,food; groceries
,,しょくりょうひん,,
436,小学校,shougakkou,Noun,elementary school
,,しょうがっこう,,
437,生じる,shoujiru,"Verb, Ichidan verb, Transitive verb",to produce
,,しょうじる,,
438,紹介,shoukai,"Noun, Suru verb",introduction
,,しょうかい,,
439,将来,shourai,"Noun, Adverbial Noun",future
,,しょうらい,,
440,小説,shousetsu,Noun,novel
,,しょうせつ,,
,,,,
441,趣味,shumi,Noun,hobby; pastime; preference
,,しゅみ,,
442,習慣,shuukan,Noun,habit; custom; cultural practice.
,,しゅうかん,,
443,祖母,sobo,Noun,grandmother
,,そぼ,,
444,育てる,sodateru,"Verb, Ichidan verb, Transitive verb","to rear,to bring up"
,,そだてる,,
445,祖父,sofu,Noun,grandfather
,,そふ,,
446,ソフト,sofuto,"Noun, Katakana",soft
447,そんな,sonna,Pre-noun adjectival,that sort of
448,それで,sore de,Conjunction,because of that
449,それほど,sore hodo,Adverb,to that extent
450,そろそろ,sorosoro,Adverb,gradually; soon
451,卒業,sotsugyou,"Noun, Suru verb",graduation
,,そつぎょう,,
452,相談,soudan,"Noun, Suru verb",to discuss
,,そうだん,,
453,素晴らしい,subarashii,"Adjective, い-adjective",wonderful
,,すばらしい,,
454,滑る,suberu,"Verb, Godan verb, Intransitive verb",to slide; to slip
,,すべる,,
455,凄い,sugoi,"Adjective, い-adjective",terrific
,,すごい,,
456,水道,suidou,Noun,water supply
,,すいどう,,
457,水泳,suiei,"Noun, Suru verb",swimming
,,すいえい,,
458,すっかり,sukkari,Adverb,completely
459,空く,suku,"Verb, Godan verb, Intransitive verb",to be hungry
,,すく,,
460,スクリーン,sukuriin,"Noun, Katakana",screen
461,隅,sumi,Noun,corner; nook
,,すみ,,
462,済む,sumu,"Verb, Godan verb, Intransitive verb",to finish
,,すむ,,
463,砂,suna,Noun,sand
,,すな,,
464,すり,suri,Noun,pickpocket
465,スーツケース,sustsukeesu,"Noun, Katakana",suitcase
466,進む,susumu,"Verb, Godan verb, Intransitive verb",to make progress
,,すすむ,,
467,ステーキ,suteeki,"Noun, Katakana",steak
468,ステレオ,sutereo,"Noun, Katakana",stereo
469,捨てる,suteru,"Verb, Ichidan verb, Transitive verb",to throw away
,,すてる,,
470,数学,suugaku,Noun,mathematics; arithmetic
,,すうがく,,
471,スーツ,suutsu,"Noun, Katakana",suit
472,正しい,tadashii,"Adjective, い-adjective",right; correct
,,ただしい,,
473,退院,tai'in,"Noun, Verb, Suru verb",leaving hospital; discharge from hospital
,,たいいん,,
474,台風,taifuu,Noun,typhoon
,,たいふう,,
475,タイプ,taipu,Noun,"type,style"
476,たいてい,taitei,"Noun, Adjective, な-adjective, Adverb",usually
477,たまに,tamani,Adverb,occasionally
478,棚,tana,Noun,shelves
,,たな,,
479,誕生,tanjou,"Noun, Suru verb",birth
,,たんじょう,,
480,楽しみ,tanoshimi,"Noun, Adjective, な-adjective",looking forward to​
,,たのしみ,,
481,倒れる,taoreru,"Verb, Ichidan verb, Intransitive verb","to fall (over, down)"
,,たおれる,,
482,足りる,tariru,"Verb, Ichidan verb, Intransitive verb",to be sufficient; to be enough
,,たりる,,
483,足す,tasu,"Verb, Godan verb, Transitive verb",to add (numbers / something)
,,たす,,
484,畳,tatami,Noun,Japanese straw mat
,,たたみ,,
485,建てる,tateru,"Verb, Ichidan verb, Transitive verb",to build
,,たてる,,
486,尋ねる,tazuneru,"Verb, Ichidan verb, Transitive verb",to ask
,,たずねる,,
487,訪ねる,tazuneru,"Verb, Ichidan verb, Transitive verb",to visit
,,たずねる,,
488,手袋,tebukuro,Noun,glove
,,てぶくろ,,
489,丁寧,teinei,"Noun, Adjective, な-adjective",polite
,,ていねい,,
490,テキスト,tekisuto,"Noun, Katakana",text; textbook
491,適当,tekitou,"Noun, Adjective, な-adjective",suitable
,,てきとう,,
492,点,ten,Noun,point; dot
,,てん,,
493,店員,ten'in,Noun,employee (of a store); shop assistant; clerk
,,てんいん,,
494,テニス,tenisu,"Noun, Katakana",tennis
495,天気予報,tenkiyohou,Noun,weather forecast
,,てんきよほう,,
496,展覧会,tenrankai,Noun,exhibition
,,てんらんかい,,
497,寺,tera,Noun,temple
,,てら,,
498,手伝う,tetsudau,"Verb, Godan verb, Transitive verb",to help; to assist; to aid​
,,てつだう,,
499,途中,tochuu,"Noun, Adverbial Noun",on the way
,,とちゅう,,
500,届ける,todokeru,"Verb, Ichidan verb, Transitive verb",to send​
,,とどける,,
501,特急,tokkyuu,Noun,"limited express (train, faster than an express)"
,,とっきゅう,,
502,床屋,tokoya,Noun,barber
,,とこや,,
503,特別,tokubetsu,"Noun, Adjective, な-adjective",special; particular; extraordinary; exceptional
,,とくべつ,,
504,特に,tokuni,Adverb,particularly; especially; in particular; expressly
,,とくに,,
505,泊まる,tomaru,"Verb, Godan verb, Intransitive verb",to stay at
,,とまる,,
506,止める,tomeru,"Verb, Ichidan verb, Transitive verb",to stop something
,,とめる,,
507,遠く,tooku,"Noun, Adverbial Noun",distant
,,とおく,,
508,通る,tooru,"Verb, Godan verb, Intransitive verb",to go through
,,とおる,,
509,取り替える,torikaeru,"Verb, Ichidan verb, Transitive verb",to exchange; to swap; to replace
,,とりかえる,,
510,到頭,toutou,Adverb,"finally, after all"
,,とうとう,,
511,続ける,tsudzukeru,"Verb, Ichidan verb, Transitive verb",to continue; to keep up; to keep on
,,つづける,,
512,続く,tsudzuku,"Verb, Godan verb, Intransitive verb",to continue
,,つづく,,
513,都合,tsugou,"Noun, Adverb",convenience
,,つごう,,
,,,,
514,捕まえる,tsukamaeru,"Verb, Ichidan verb, Transitive verb",to catch
,,つかまえる,,
515,漬ける,tsukeru,"Verb, Ichidan verb, Transitive verb",to soak; to pickle
,,つける,,
516,月,tsuki,Noun,moon
,,つき,,
517,付く,tsuku,"Verb, Godan verb, Intransitive verb",to be attached
,,つく,,
518,妻,tsuma,Noun,(humble) wife
,,つま,,
519,連れる,tsureru,"Verb, Ichidan verb, Transitive verb",to take (someone) with one
,,つれる,,
520,釣る,tsuru,"Verb, Godan verb, Transitive verb",to fish
,,つる,,
521,伝える,tsutaeru,"Verb, Ichidan verb, Transitive verb",to report; to tell
,,つたえる,,
522,包む,tsutsumu,"Verb, Godan verb, Transitive verb",to wrap
,,つつむ,,
523,腕,ude,Noun,arm
,,うで,,
524,植える,ueru,"Verb, Ichidan verb, Transitive verb",to plant; to grow
,,うえる,,
525,動く,ugoku,"Verb, Godan verb, Intransitive verb",to move
,,うごく,,
526,伺う,ukagau,"Verb, Godan verb, Transitive verb",to visit
,,うかがう,,
527,受ける,ukeru,"Verb, Ichidan verb, Transitive verb",to take a lesson or test
,,うける,,
528,受付,uketsuke,Noun,reception (desk); information desk​
,,うけつけ,,
529,生まれ,umare,Noun,birth
,,うまれ,,
530,運転手,untenshu,Noun,driver; chauffeur
,,うんてんしゅ,,
531,裏,ura,Noun,reverse side
,,うら,,
532,嬉しい,ureshii,"Adjective, い-adjective",happy
,,うれしい,,
533,売り場,uriba,Noun,selling area
,,うりば,,
534,嘘,uso,Noun,a lie
,,うそ,,
535,打つ,utsu,"Verb, Godan verb, Transitive verb",to hit
,,うつ,,
536,美しい,utsukushii,"Adjective, い-adjective",beautiful
,,うつくしい,,
537,移る,utsuru,"Verb, Godan verb, Intransitive verb",to move house or transfer
,,うつる,,
538,写す,utsusu,"Verb, Godan verb, Transitive verb",to copy or photograph
,,うつす,,
539,ワープロ,waapuro,"Noun, Katakana",word processor
540,別れる,wakareru,"Verb, Ichidan verb, Intransitive verb",to separate
,,わかれる,,
541,沸かす,wakasu,"Verb, Godan verb, Transitive verb",to boil; to heat
,,わかす,,
542,沸く,waku,"Verb, Godan verb, Intransitive verb",to boil
,,わく,,
543,笑う,warau,"Verb, Godan verb, Intransitive verb",to laugh; to smile
,,わらう,,
544,割れる,wareru,"Verb, Ichidan verb, Intransitive verb",to break
,,われる,,
545,割合,wariai,Noun,rate; ratio
,,わりあい,,
546,忘れ物,wasuremono,Noun,lost article
,,わすれもの,,
547,焼ける,yakeru,"Verb, Ichidan verb, Intransitive verb",to burn; to be roasted
,,やける,,
548,焼く,yaku,"Verb, Godan verb, Transitive verb",to bake; to grill
,,やく,,
549,役に立つ,yakunitatsu,"Verb, Godan verb, Expression",to be helpful
,,やくにたつ,,
550,約束,yakusoku,"Noun, Suru verb",promise
,,やくそく,,
551,止む,yamu,"Verb, Godan verb, Intransitive verb",to stop
,,やむ,,
552,やっぱり,yappari,Adverb,as I thought
553,優しい,yasashii,"Adjective, い-adjective",kind
,,やさしい,,
554,痩せる,yaseru,"Verb, Ichidan verb, Intransitive verb",to become thin
,,やせる,,
555,柔らかい,yawarakai,"Adjective, い-adjective",soft
,,やわらかい,,
556,汚れる,yogoreru,"Verb, Ichidan verb, Intransitive verb",to get dirty
,,よごれる,,
557,喜ぶ,yorokobu,"Verb, Godan verb",to be delighted
,,よろこぶ,,
558,寄る,yoru,"Verb, Godan verb, Intransitive verb",to visit; to drop by
,,よる,,
559,予習,yoshuu,"Noun, Verb, Suru verb",preparation for a lesson
,,よしゅう,,
560,予定,yotei,"Noun, Suru verb",plan
,,よてい,,
561,用,you,"Noun, Suffix",business; task; errand; use; purpose
,,よう,,
562,用意,youi,"Noun, Verb, Suru verb",preparation; arrangements; provision; getting ready
,,ようい,,
563,用事,youji,Noun,tasks; things to do; errand; business (to take care of)
,,ようじ,,
564,予約,yoyaku,"Noun, Suru verb",reservation
,,よやく,,
565,湯,yu,Noun,hot water
,,ゆ,,
566,指,yubi,Noun,finger
,,ゆび,,
567,指輪,yubiwa,Noun,finger ring
,,ゆびわ,,
568,夢,yume,Noun,dream
,,ゆめ,,
569,揺れる,yureru,"Verb, Ichidan verb, Intransitive verb",to shake
,,ゆれる,,
570,残念,zannen,"Noun, Adjective, な-adjective",regrettable; unfortunate
,,ざんねん,,
571,全然,zenzen,Adverb,not entirely (used in a negative sentence)
,,ぜんぜん,,
